                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.28976,                0.24111,                0.92186,                0.99715,                      1,                  0.995,                  0.995,                0.16678,                0.23296,                0.63489,              0.0018139,              0.0018139,              0.0018139
                     49,                0.28404,                0.23063,                0.93088,                0.99713,                      1,                  0.995,                  0.995,                0.19062,                0.30422,                 0.6433,              0.0018099,              0.0018099,              0.0018099
                     50,                0.27854,                0.22642,                0.91969,                0.99736,                      1,                  0.995,                  0.995,                0.16901,                0.29647,                 0.6105,               0.001806,               0.001806,               0.001806
                     51,                0.29871,                0.24635,                0.91701,                0.99537,                      1,                  0.995,                  0.995,                0.15929,                0.43426,                0.63913,               0.001802,               0.001802,               0.001802
                     52,                0.28663,                0.23584,                0.90552,                0.99717,                      1,                  0.995,                  0.995,                0.18433,                0.23361,                 0.6422,               0.001798,               0.001798,               0.001798
                     53,                0.28857,                 0.2398,                0.91443,                  0.997,                      1,                  0.995,                  0.995,                0.18792,                0.29306,                0.63881,              0.0017941,              0.0017941,              0.0017941
                     54,                0.26707,                0.22351,                  0.909,                0.99631,                      1,                  0.995,                  0.995,                0.22719,                0.36926,                 0.6968,              0.0017901,              0.0017901,              0.0017901
                     55,                 0.2723,                0.21555,                0.92529,                0.99757,                      1,                  0.995,                  0.995,                0.19861,                0.24464,                0.64626,              0.0017862,              0.0017862,              0.0017862
                     56,                0.28425,                0.23264,                0.91188,                0.99752,                      1,                  0.995,                  0.995,                 0.1951,                 0.1874,                 0.6374,              0.0017822,              0.0017822,              0.0017822
                     57,                0.27208,                0.21974,                0.91021,                0.99434,                      1,                  0.995,                  0.995,                 0.2228,                0.54495,                0.63763,              0.0017782,              0.0017782,              0.0017782
                     58,                  0.269,                0.22277,                0.91079,                0.99748,                      1,                  0.995,                  0.995,                 0.2375,                0.18464,                 0.6695,              0.0017743,              0.0017743,              0.0017743
                     59,                0.26038,                0.20659,                0.91397,                0.99743,                      1,                  0.995,                  0.995,                0.22629,                 0.1831,                0.64857,              0.0017703,              0.0017703,              0.0017703
                     60,                0.28492,                0.22946,                0.91064,                0.99733,                      1,                  0.995,                  0.995,                0.17969,                   0.21,                0.61559,              0.0017664,              0.0017664,              0.0017664
                     61,                0.26886,                0.21985,                0.92227,                0.99424,                      1,                  0.995,                  0.995,                0.17546,                0.31135,                0.63501,              0.0017624,              0.0017624,              0.0017624
                     62,                0.25635,                0.21582,                0.89732,                0.99754,                      1,                  0.995,                  0.995,                0.20715,                 0.1966,                0.64242,              0.0017584,              0.0017584,              0.0017584
                     63,                0.27947,                0.22567,                0.90664,                0.99732,                      1,                  0.995,                  0.995,                0.23005,                0.24168,                0.67584,              0.0017545,              0.0017545,              0.0017545
                     64,                0.27012,                0.22279,                 0.9108,                 0.9975,                      1,                  0.995,                  0.995,                0.16096,                0.17809,                0.60636,              0.0017505,              0.0017505,              0.0017505
                     65,                0.26925,                0.22354,                0.91287,                0.99739,                      1,                  0.995,                  0.995,                0.15634,                0.18317,                0.60289,              0.0017466,              0.0017466,              0.0017466
                     66,                0.24999,                0.20344,                0.90778,                0.99723,                      1,                  0.995,                  0.995,                0.19086,                0.34946,                0.60821,              0.0017426,              0.0017426,              0.0017426
                     67,                0.27007,                0.21937,                0.90712,                0.99681,                      1,                  0.995,                  0.995,                0.16954,                0.30277,                0.59857,              0.0017386,              0.0017386,              0.0017386
                     68,                0.25237,                0.20783,                 0.9089,                0.99509,                      1,                  0.995,                  0.995,                0.18457,                0.23908,                0.63711,              0.0017347,              0.0017347,              0.0017347
                     69,                0.26334,                0.21835,                0.91377,                0.99443,                      1,                  0.995,                  0.995,                0.17122,                0.29641,                 0.6068,              0.0017307,              0.0017307,              0.0017307
                     70,                0.27657,                0.22554,                0.91759,                0.99379,                      1,                  0.995,                  0.995,                 0.1587,                0.53604,                0.59876,              0.0017268,              0.0017268,              0.0017268
                     71,                0.25851,                 0.2136,                 0.9159,                0.99739,                      1,                  0.995,                  0.995,                0.18158,                0.18526,                0.63242,              0.0017228,              0.0017228,              0.0017228
                     72,                0.27671,                0.23064,                0.91878,                0.99742,                      1,                  0.995,                0.98005,                0.16093,                  0.152,                0.59999,              0.0017188,              0.0017188,              0.0017188
                     73,                0.25068,                0.20861,                0.90889,                0.99753,                      1,                  0.995,                  0.995,                0.17242,                0.13294,                0.61145,              0.0017149,              0.0017149,              0.0017149
                     74,                0.25766,                0.21678,                0.92751,                0.99699,                      1,                  0.995,                  0.995,                0.15018,                0.15662,                0.61194,              0.0017109,              0.0017109,              0.0017109
                     75,                0.27058,                0.21904,                0.91436,                0.99742,                      1,                  0.995,                  0.995,                0.19332,                0.20734,                0.62835,               0.001707,               0.001707,               0.001707
                     76,                 0.2519,                0.20469,                0.90373,                0.99742,                      1,                  0.995,                  0.995,                0.15486,                0.24292,                0.59355,               0.001703,               0.001703,               0.001703
                     77,                0.27185,                0.21811,                 0.9173,                0.99334,                      1,                  0.995,                  0.995,                0.12752,                0.20934,                0.59487,               0.001699,               0.001699,               0.001699
                     78,                0.28194,                0.23437,                0.91629,                0.99742,                      1,                  0.995,                  0.995,                0.16987,                0.19098,                  0.618,              0.0016951,              0.0016951,              0.0016951
                     79,                0.24651,                 0.2027,                0.90749,                0.99616,                      1,                  0.995,                  0.995,                0.14663,                0.20822,                0.59795,              0.0016911,              0.0016911,              0.0016911
                     80,                0.26677,                0.21171,                0.90146,                0.99718,                      1,                  0.995,                  0.995,                0.17908,                0.26576,                0.62852,              0.0016872,              0.0016872,              0.0016872
                     81,                0.24964,                0.20367,                0.90212,                 0.9791,                      1,                  0.995,                  0.995,                0.15019,                0.52398,                0.58446,              0.0016832,              0.0016832,              0.0016832
                     82,                0.24845,                 0.2059,                0.90882,                0.99692,                      1,                  0.995,                  0.995,                0.16641,                0.16241,                0.60547,              0.0016792,              0.0016792,              0.0016792
                     83,                0.26414,                0.21812,                0.90962,                0.99555,                      1,                  0.995,                  0.995,                0.15855,                0.57518,                0.59424,              0.0016753,              0.0016753,              0.0016753
                     84,                0.24483,                0.20273,                0.89714,                0.99683,                      1,                  0.995,                  0.995,                0.19248,                0.24759,                0.63049,              0.0016713,              0.0016713,              0.0016713
                     85,                0.25048,                0.20242,                0.90103,                0.99737,                      1,                  0.995,                  0.995,                0.15158,                0.18282,                0.58212,              0.0016674,              0.0016674,              0.0016674
                     86,                0.26024,                0.20803,                 0.8977,                0.99751,                      1,                  0.995,                  0.995,                0.17011,                0.15814,                0.62088,              0.0016634,              0.0016634,              0.0016634
                     87,                0.25054,                0.19674,                0.91234,                0.99754,                      1,                  0.995,                  0.995,                0.17975,                0.18762,                0.63169,              0.0016594,              0.0016594,              0.0016594
                     88,                0.25408,                0.20264,                0.90479,                0.99534,                      1,                  0.995,                  0.995,                 0.1738,                 0.3897,                0.63126,              0.0016555,              0.0016555,              0.0016555
                     89,                0.25876,                 0.2026,                0.90868,                0.99562,                      1,                  0.995,                  0.995,                0.17278,                0.27789,                0.63334,              0.0016515,              0.0016515,              0.0016515
                     90,                 0.2634,                0.20663,                0.90126,                 0.9974,                      1,                  0.995,                  0.995,                0.13942,                0.18359,                0.59947,              0.0016476,              0.0016476,              0.0016476
                     91,                0.24325,                0.19646,                 0.8963,                0.99738,                      1,                  0.995,                  0.995,                0.18048,                 0.1477,                0.61446,              0.0016436,              0.0016436,              0.0016436
                     92,                0.25188,                0.20148,                0.89981,                0.99757,                      1,                  0.995,                  0.995,                0.17163,                0.12885,                0.62465,              0.0016396,              0.0016396,              0.0016396
